Frequency (Hz)	Level (dB)
2400.952148	-61.913338
2406.335449	-70.347481
2411.718750	-70.522575
2417.102051	-68.643890
2422.485352	-68.640251
2427.868652	-65.456291
2433.251953	-64.206909
2438.635254	-66.426796
2444.018555	-71.010582
2449.401855	-73.217316
2454.785156	-73.118652
2460.168457	-71.668411
2465.551758	-69.967659
2470.935059	-68.730637
2476.318359	-67.255585
2481.701660	-66.132996
2487.084961	-66.372040
2492.468262	-67.384010
2497.851562	-65.688011
2503.234863	-61.295063
2508.618164	-58.276249
2514.001465	-58.233521
2519.384766	-61.680347
2524.768066	-68.536766
2530.151367	-71.572212
2535.534668	-71.067802
2540.917969	-71.676933
2546.301270	-72.050179
2551.684570	-71.464249
2557.067871	-71.228600
2562.451172	-72.529305
2567.834473	-74.500366
2573.217773	-75.823608
2578.601074	-77.885750
2583.984375	-83.124329
2589.367676	-81.022202
2594.750977	-76.003944
2600.134277	-74.614761
2605.517578	-75.598564
2610.900879	-78.248039
2616.284180	-80.252991
2621.667480	-78.509972
2627.050781	-77.723480
2632.434082	-79.093681
2637.817383	-77.644829
2643.200684	-75.746727
2648.583984	-77.830185
2653.967285	-84.824081
2659.350586	-90.459137
2664.733887	-85.713791
2670.117188	-82.993553
2675.500488	-80.311234
2680.883789	-78.798965
2686.267090	-78.570412
2691.650391	-79.599792
2697.033691	-82.627769
2702.416992	-87.418190
2707.800293	-89.609917
2713.183594	-89.776352
2718.566895	-93.255310
2723.950195	-86.949860
2729.333496	-82.688431
2734.716797	-82.873459
2740.100098	-85.929466
2745.483398	-88.652435
2750.866699	-89.580696
2756.250000	-91.712791
2761.633301	-92.977692
2767.016602	-84.551483
2772.399902	-81.840530
2777.783203	-82.959915
2783.166504	-87.418365
2788.549805	-94.461723
2793.933105	-89.018974
2799.316406	-82.814026
2804.699707	-79.740059
2810.083008	-76.381485
2815.466309	-72.894753
2820.849609	-70.783958
2826.232910	-70.581650
2831.616211	-72.144135
2836.999512	-73.581139
2842.382812	-74.293991
2847.766113	-77.632660
2853.149414	-79.418350
2858.532715	-75.774109
2863.916016	-73.948189
2869.299316	-72.889091
2874.682617	-70.181320
2880.065918	-66.526253
2885.449219	-64.233826
2890.832520	-64.308502
2896.215820	-66.499344
2901.599121	-70.111679
2906.982422	-74.760864
2912.365723	-77.330307
2917.749023	-77.064873
2923.132324	-75.766808
2928.515625	-75.577263
2933.898926	-77.093140
2939.282227	-78.587685
2944.665527	-79.250931
2950.048828	-80.141525
2955.432129	-81.563286
2960.815430	-79.769531
2966.198730	-76.921440
2971.582031	-76.884201
2976.965332	-78.110146
2982.348633	-77.965469
2987.731934	-78.880554
2993.115234	-79.694260
2998.498535	-78.812653
3003.881836	-78.038361
3009.265137	-73.930893
3014.648438	-69.702766
3020.031738	-68.858383
3025.415039	-71.705414
3030.798340	-76.776794
3036.181641	-77.207932
3041.564941	-77.475533
3046.948242	-79.727379
3052.331543	-79.717499
3057.714844	-78.404404
3063.098145	-77.375313
3068.481445	-75.622696
3073.864746	-73.966644
3079.248047	-73.434731
3084.631348	-73.261620
3090.014648	-72.796043
3095.397949	-73.629234
3100.781250	-75.997208
3106.164551	-76.249924
3111.547852	-74.266617
3116.931152	-72.201920
3122.314453	-70.317619
3127.697754	-67.990860
3133.081055	-66.323318
3138.464355	-66.673080
3143.847656	-68.696159
3149.230957	-71.111572
3154.614258	-73.926605
3159.997559	-75.120880
3165.380859	-74.369804
3170.764160	-75.233017
3176.147461	-75.208740
3181.530762	-73.512131
3186.914062	-72.905006
3192.297363	-72.601463
3197.680664	-72.394882
3203.063965	-71.572998
3208.447266	-69.780861
3213.830566	-69.228897
3219.213867	-69.862015
3224.597168	-70.352730
3229.980469	-71.114326
3235.363770	-72.671677
3240.747070	-76.826210
3246.130371	-76.297890
3251.513672	-74.081055
3256.896973	-73.160027
3262.280273	-71.746033
3267.663574	-70.638321
3273.046875	-71.275085
3278.430176	-74.918343
3283.813477	-80.938354
3289.196777	-81.490219
3294.580078	-80.927582
3299.963379	-80.875542
3305.346680	-81.799591
3310.729980	-84.180641
3316.113281	-87.472816
3321.496582	-87.445198
3326.879883	-86.258835
3332.263184	-85.627625
3337.646484	-84.340187
3343.029785	-85.160606
3348.413086	-87.428360
3353.796387	-85.949509
3359.179688	-83.323959
3364.562988	-83.923767
3369.946289	-87.067818
3375.329590	-86.764664
3380.712891	-84.836052
3386.096191	-82.238884
3391.479492	-78.578247
3396.862793	-76.729729
3402.246094	-78.285278
3407.629395	-82.519379
3413.012695	-84.261391
3418.395996	-87.298416
3423.779297	-88.312538
3429.162598	-85.465836
3434.545898	-86.385422
3439.929199	-90.162308
3445.312500	-97.947830
3450.695801	-98.264511
3456.079102	-86.686256
3461.462402	-80.971848
3466.845703	-78.965340
3472.229004	-78.196983
3477.612305	-76.438766
3482.995605	-75.248901
3488.378906	-76.805573
3493.762207	-81.308762
3499.145508	-82.491470
3504.528809	-80.659019
3509.912109	-79.940285
3515.295410	-78.458122
3520.678711	-75.064987
3526.062012	-73.752846
3531.445312	-75.852119
3536.828613	-78.778160
3542.211914	-79.350098
3547.595215	-81.968513
3552.978516	-85.507027
3558.361816	-83.236740
3563.745117	-83.487297
3569.128418	-86.101601
3574.511719	-84.308998
3579.895020	-81.252586
3585.278320	-80.063408
3590.661621	-80.801064
3596.044922	-81.540245
3601.428223	-81.889694
3606.811523	-82.786232
3612.194824	-86.461647
3617.578125	-93.971291
3622.961426	-81.399132
3628.344727	-77.833931
3633.728027	-78.019127
3639.111328	-79.138397
3644.494629	-75.297073
3649.877930	-73.045052
3655.261230	-73.986008
3660.644531	-75.980751
3666.027832	-76.011299
3671.411133	-76.927422
3676.794434	-81.027702
3682.177734	-81.843887
3687.561035	-80.770882
3692.944336	-83.111374
3698.327637	-79.553436
3703.710938	-76.572472
3709.094238	-75.091110
3714.477539	-74.891434
3719.860840	-75.458931
3725.244141	-75.524712
3730.627441	-73.047462
3736.010742	-70.828346
3741.394043	-71.534500
3746.777344	-75.622353
3752.160645	-76.995712
3757.543945	-76.558571
3762.927246	-74.828026
3768.310547	-72.689507
3773.693848	-73.475815
3779.077148	-73.400543
3784.460449	-73.004227
3789.843750	-73.286522
3795.227051	-73.969589
3800.610352	-76.406197
3805.993652	-80.609047
3811.376953	-80.192947
3816.760254	-81.313705
3822.143555	-81.782204
3827.526855	-79.136490
3832.910156	-78.158272
3838.293457	-79.093048
3843.676758	-79.726135
3849.060059	-78.184425
3854.443359	-77.794678
3859.826660	-78.415337
3865.209961	-79.628090
3870.593262	-81.744064
3875.976562	-83.777328
3881.359863	-85.027649
3886.743164	-84.640839
3892.126465	-82.831535
3897.509766	-77.045616
3902.893066	-73.792953
3908.276367	-73.340164
3913.659668	-74.133881
3919.042969	-74.290352
3924.426270	-74.876678
3929.809570	-76.640144
3935.192871	-76.736053
3940.576172	-76.931427
3945.959473	-76.182640
3951.342773	-74.185043
3956.726074	-73.426010
3962.109375	-73.826622
3967.492676	-76.463318
3972.875977	-79.496277
3978.259277	-80.298683
3983.642578	-77.108994
3989.025879	-74.376198
3994.409180	-76.092583
3999.792480	-78.040009
4005.175781	-76.178688
4010.559082	-76.468102
4015.942383	-72.909164
4021.325684	-70.487610
4026.708984	-70.970009
4032.092285	-72.588928
4037.475586	-73.952393
4042.858887	-75.260162
4048.242188	-77.159966
4053.625488	-80.508919
4059.008789	-81.369827
4064.392090	-80.350777
4069.775391	-79.981026
4075.158691	-76.677475
4080.541992	-73.909554
4085.925293	-72.719986
4091.308594	-73.449440
4096.691895	-73.171616
4102.075195	-71.906944
4107.458496	-69.889389
4112.841797	-67.908882
4118.225098	-67.993637
4123.608398	-71.132172
4128.991699	-74.988495
4134.375000	-73.003105
4139.758301	-68.834839
4145.141602	-67.582207
4150.524902	-70.037598
4155.908203	-72.546768
4161.291504	-71.412788
4166.674805	-71.431953
4172.058105	-72.590492
4177.441406	-74.529747
4182.824707	-78.051826
4188.208008	-79.723419
4193.591309	-78.885109
4198.974609	-76.070107
4204.357910	-72.359543
4209.741211	-70.086349
4215.124512	-71.422791
4220.507812	-73.585533
4225.891113	-69.573372
4231.274414	-67.105797
4236.657715	-65.426346
4242.041016	-65.291740
4247.424316	-67.946838
4252.807617	-73.185051
4258.190918	-72.634163
4263.574219	-69.128967
4268.957520	-68.747818
4274.340820	-67.494431
4279.724121	-63.950321
4285.107422	-62.529381
4290.490723	-63.582043
4295.874023	-66.199211
4301.257324	-68.169891
4306.640625	-69.043312
4312.023926	-69.353935
4317.407227	-68.076958
4322.790527	-66.172485
4328.173828	-64.512474
4333.557129	-63.190109
4338.940430	-63.414131
4344.323730	-65.959969
4349.707031	-68.282845
4355.090332	-67.835129
4360.473633	-66.126694
4365.856934	-65.290176
4371.240234	-66.670807
4376.623535	-71.381966
4382.006836	-75.578087
4387.390137	-71.490761
4392.773438	-69.727585
4398.156738	-72.974495
4403.540039	-79.868286
4408.923340	-72.447838
4414.306641	-70.869614
4419.689941	-72.467224
4425.073242	-75.593842
4430.456543	-77.173203
4435.839844	-78.644913
4441.223145	-81.172699
4446.606445	-80.913742
4451.989746	-80.170563
4457.373047	-79.988792
4462.756348	-81.016861
4468.139648	-85.427544
4473.522949	-91.288536
4478.906250	-86.849869
4484.289551	-83.743622
4489.672852	-83.089638
4495.056152	-84.908722
4500.439453	-88.803940
4505.822754	-93.833542
4511.206055	-92.622162
4516.589355	-91.019699
4521.972656	-93.787155
4527.355957	-107.076309
4532.739258	-97.159103
4538.122559	-94.597992
4543.505859	-94.919754
4548.889160	-94.739090
4554.272461	-93.330421
4559.655762	-90.711052
4565.039062	-87.471558
4570.422363	-84.801018
4575.805664	-84.536484
4581.188965	-88.006485
4586.572266	-92.756020
4591.955566	-89.243927
4597.338867	-87.728554
4602.722168	-87.043358
4608.105469	-85.016907
4613.488770	-82.347748
4618.872070	-81.113831
4624.255371	-82.531288
4629.638672	-84.737175
4635.021973	-85.190384
4640.405273	-86.889206
4645.788574	-86.719490
4651.171875	-85.709389
4656.555176	-83.655510
4661.938477	-81.531456
4667.321777	-80.807999
4672.705078	-79.218132
4678.088379	-75.667526
4683.471680	-72.636276
4688.854980	-70.915688
4694.238281	-69.521660
4699.621582	-68.970482
4705.004883	-69.854607
4710.388184	-70.932938
4715.771484	-70.593430
4721.154785	-69.918091
4726.538086	-70.979385
4731.921387	-73.891525
4737.304688	-75.279045
4742.687988	-80.223961
4748.071289	-76.808212
4753.454590	-70.938057
4758.837891	-68.812653
4764.221191	-63.209503
4769.604492	-59.724762
4774.987793	-59.036430
4780.371094	-59.638531
4785.754395	-61.289814
4791.137695	-65.468254
4796.520996	-71.137909
4801.904297	-66.749519
4807.287598	-61.041664
4812.670898	-57.531021
4818.054199	-55.532986
4823.437500	-54.978100
4828.820801	-56.030308
4834.204102	-57.963585
4839.587402	-58.540653
4844.970703	-57.434948
4850.354004	-57.774017
4855.737305	-60.786926
4861.120605	-64.623314
4866.503906	-65.343575
4871.887207	-60.746937
4877.270508	-56.779343
4882.653809	-55.852543
4888.037109	-54.583294
4893.420410	-51.965523
4898.803711	-50.432320
4904.187012	-50.031570
4909.570312	-51.005398
4914.953613	-54.046097
4920.336914	-59.146816
4925.720215	-63.389187
4931.103516	-61.860329
4936.486816	-59.312847
4941.870117	-57.728184
4947.253418	-57.354900
4952.636719	-57.974236
4958.020020	-57.862499
4963.403320	-57.452251
4968.786621	-57.036320
4974.169922	-57.100372
4979.553223	-59.217705
4984.936523	-62.179688
4990.319824	-62.719421
4995.703125	-63.648045
5001.086426	-64.520470
5006.469727	-63.999252
5011.853027	-63.210224
5017.236328	-61.461731
5022.619629	-60.319645
5028.002930	-60.653191
5033.386230	-62.073570
